date,sku_id,sku_name,category,region_id,region_name,units_sold,unit_price_inr,revenue_inr
2023-01-01,SKU006,Pure Honey 500g,Health Foods,SOUTH,South India (Chennai),62,350,21700
2023-01-01,SKU006,Pure Honey 500g,Health Foods,WEST,West India (Mumbai),87,350,30450
2023-01-01,SKU007,Traditional Namkeen 400g,Snacks,CENTRAL,Central India (Nagpur),187,120,22440
2023-01-01,SKU007,Traditional Namkeen 400g,Snacks,EAST,East India (Kolkata),279,120,33480
2023-01-01,SKU007,Traditional Namkeen 400g,Snacks,NORTH,North India (Delhi NCR),377,120,45240
2023-01-01,SKU007,Traditional Namkeen 400g,Snacks,SOUTH,South India (Chennai),247,120,29640
2023-01-01,SKU007,Traditional Namkeen 400g,Snacks,WEST,West India (Mumbai),422,120,50640
2023-01-01,SKU008,Mango Juice 1L,Beverages,CENTRAL,Central India (Nagpur),81,95,7695
2023-01-01,SKU008,Mango Juice 1L,Beverages,EAST,East India (Kolkata),126,95,11970
2023-01-01,SKU008,Mango Juice 1L,Beverages,NORTH,North India (Delhi NCR),94,95,8930
2023-01-01,SKU008,Mango Juice 1L,Beverages,SOUTH,South India (Chennai),199,95,18905
2023-01-01,SKU008,Mango Juice 1L,Beverages,WEST,West India (Mumbai),310,95,29450
2023-01-01,SKU009,Coconut Hair Oil 200ml,Personal Care,CENTRAL,Central India (Nagpur),244,110,26840
2023-01-01,SKU009,Coconut Hair Oil 200ml,Personal Care,EAST,East India (Kolkata),299,110,32890
2023-01-01,SKU009,Coconut Hair Oil 200ml,Personal Care,NORTH,North India (Delhi NCR),459,110,50490
2023-01-01,SKU009,Coconut Hair Oil 200ml,Personal Care,SOUTH,South India (Chennai),267,110,29370
2023-01-01,SKU009,Coconut Hair Oil 200ml,Personal Care,WEST,West India (Mumbai),387,110,42570
2023-01-01,SKU010,Dishwash Liquid 500ml,Home Care,CENTRAL,Central India (Nagpur),171,99,16929
2023-01-01,SKU010,Dishwash Liquid 500ml,Home Care,EAST,East India (Kolkata),210,99,20790
2023-01-01,SKU010,Dishwash Liquid 500ml,Home Care,NORTH,North India (Delhi NCR),247,99,24453
2023-01-01,SKU010,Dishwash Liquid 500ml,Home Care,SOUTH,South India (Chennai),223,99,22077
2023-01-01,SKU010,Dishwash Liquid 500ml,Home Care,WEST,West India (Mumbai),309,99,30591
2023-01-01,SKU011,Basmati Rice 5kg,Staples,CENTRAL,Central India (Nagpur),157,450,70650
2023-01-01,SKU011,Basmati Rice 5kg,Staples,EAST,East India (Kolkata),163,450,73350
2023-01-01,SKU011,Basmati Rice 5kg,Staples,NORTH,North India (Delhi NCR),291,450,130950
2023-01-01,SKU011,Basmati Rice 5kg,Staples,SOUTH,South India (Chennai),208,450,93600
2023-01-01,SKU011,Basmati Rice 5kg,Staples,WEST,West India (Mumbai),274,450,123300
2023-01-01,SKU012,Sunflower Oil 1L,Staples,CENTRAL,Central India (Nagpur),210,180,37800
2023-01-01,SKU012,Sunflower Oil 1L,Staples,EAST,East India (Kolkata),256,180,46080
2023-01-01,SKU012,Sunflower Oil 1L,Staples,NORTH,North India (Delhi NCR),396,180,71280
2023-01-01,SKU012,Sunflower Oil 1L,Staples,SOUTH,South India (Chennai),298,180,53640
2023-01-01,SKU012,Sunflower Oil 1L,Staples,WEST,West India (Mumbai),384,180,69120
2023-01-01,SKU013,Green Tea 100 Bags,Beverages,CENTRAL,Central India (Nagpur),98,250,24500
2023-01-01,SKU013,Green Tea 100 Bags,Beverages,EAST,East India (Kolkata),131,250,32750
2023-01-01,SKU013,Green Tea 100 Bags,Beverages,NORTH,North India (Delhi NCR),218,250,54500
2023-01-01,SKU013,Green Tea 100 Bags,Beverages,SOUTH,South India (Chennai),89,250,22250
2023-01-01,SKU013,Green Tea 100 Bags,Beverages,WEST,West India (Mumbai),145,250,36250
2023-01-01,SKU014,Face Wash 100ml,Personal Care,CENTRAL,Central India (Nagpur),117,175,20475
2023-01-01,SKU014,Face Wash 100ml,Personal Care,EAST,East India (Kolkata),126,175,22050
2023-01-01,SKU014,Face Wash 100ml,Personal Care,NORTH,North India (Delhi NCR),171,175,29925
2023-01-01,SKU014,Face Wash 100ml,Personal Care,SOUTH,South India (Chennai),177,175,30975
2023-01-01,SKU014,Face Wash 100ml,Personal Care,WEST,West India (Mumbai),254,175,44450
2023-01-01,SKU015,Premium Chips 150g,Snacks,CENTRAL,Central India (Nagpur),407,40,16280
2023-01-01,SKU015,Premium Chips 150g,Snacks,EAST,East India (Kolkata),518,40,20720
2023-01-01,SKU015,Premium Chips 150g,Snacks,NORTH,North India (Delhi NCR),666,40,26640
2023-01-01,SKU015,Premium Chips 150g,Snacks,SOUTH,South India (Chennai),446,40,17840
2023-01-01,SKU015,Premium Chips 150g,Snacks,WEST,West India (Mumbai),649,40,25960
2023-01-01,SKU016,Chyawanprash 500g,Health Foods,CENTRAL,Central India (Nagpur),140,320,44800
2023-01-01,SKU016,Chyawanprash 500g,Health Foods,EAST,East India (Kolkata),161,320,51520
2023-01-01,SKU016,Chyawanprash 500g,Health Foods,NORTH,North India (Delhi NCR),239,320,76480
2023-01-01,SKU016,Chyawanprash 500g,Health Foods,SOUTH,South India (Chennai),136,320,43520
2023-01-01,SKU016,Chyawanprash 500g,Health Foods,WEST,West India (Mumbai),162,320,51840
2023-01-01,SKU017,Tomato Ketchup 500g,Condiments,CENTRAL,Central India (Nagpur),153,110,16830
2023-01-01,SKU017,Tomato Ketchup 500g,Condiments,EAST,East India (Kolkata),184,110,20240
2023-01-01,SKU017,Tomato Ketchup 500g,Condiments,NORTH,North India (Delhi NCR),269,110,29590
2023-01-01,SKU017,Tomato Ketchup 500g,Condiments,SOUTH,South India (Chennai),197,110,21670
2023-01-01,SKU017,Tomato Ketchup 500g,Condiments,WEST,West India (Mumbai),281,110,30910
2023-01-01,SKU018,Floor Cleaner 1L,Home Care,CENTRAL,Central India (Nagpur),92,145,13340
2023-01-01,SKU018,Floor Cleaner 1L,Home Care,EAST,East India (Kolkata),119,145,17255
2023-01-01,SKU018,Floor Cleaner 1L,Home Care,NORTH,North India (Delhi NCR),158,145,22910
2023-01-01,SKU018,Floor Cleaner 1L,Home Care,SOUTH,South India (Chennai),136,145,19720
2023-01-01,SKU018,Floor Cleaner 1L,Home Care,WEST,West India (Mumbai),176,145,25520
2023-01-01,SKU019,Chocolate Bar 50g,Confectionery,CENTRAL,Central India (Nagpur),458,45,20610
2023-01-01,SKU019,Chocolate Bar 50g,Confectionery,EAST,East India (Kolkata),398,45,17910
2023-01-01,SKU019,Chocolate Bar 50g,Confectionery,NORTH,North India (Delhi NCR),713,45,32085
2023-01-01,SKU019,Chocolate Bar 50g,Confectionery,SOUTH,South India (Chennai),400,45,18000
2023-01-01,SKU019,Chocolate Bar 50g,Confectionery,WEST,West India (Mumbai),510,45,22950
2023-01-01,SKU020,Mosquito Repellent 45ml,Home Care,CENTRAL,Central India (Nagpur),87,85,7395
2023-01-01,SKU020,Mosquito Repellent 45ml,Home Care,EAST,East India (Kolkata),68,85,5780
2023-01-01,SKU020,Mosquito Repellent 45ml,Home Care,NORTH,North India (Delhi NCR),73,85,6205
2023-01-01,SKU020,Mosquito Repellent 45ml,Home Care,SOUTH,South India (Chennai),191,85,16235
2023-01-01,SKU020,Mosquito Repellent 45ml,Home Care,WEST,West India (Mumbai),225,85,19125
2023-01-02,SKU001,Premium Detergent 1kg,Home Care,CENTRAL,Central India (Nagpur),104,225,23400
2023-01-02,SKU001,Premium Detergent 1kg,Home Care,EAST,East India (Kolkata),120,225,27000
2023-01-02,SKU001,Premium Detergent 1kg,Home Care,NORTH,North India (Delhi NCR),169,225,38025
2023-01-02,SKU001,Premium Detergent 1kg,Home Care,SOUTH,South India (Chennai),144,225,32400
2023-01-02,SKU001,Premium Detergent 1kg,Home Care,WEST,West India (Mumbai),201,225,45225
2023-01-02,SKU002,Instant Noodles 4-Pack,Packaged Food,CENTRAL,Central India (Nagpur),445,56,24920
2023-01-02,SKU002,Instant Noodles 4-Pack,Packaged Food,EAST,East India (Kolkata),523,56,29288
2023-01-02,SKU002,Instant Noodles 4-Pack,Packaged Food,NORTH,North India (Delhi NCR),755,56,42280
2023-01-02,SKU002,Instant Noodles 4-Pack,Packaged Food,SOUTH,South India (Chennai),402,56,22512
2023-01-02,SKU002,Instant Noodles 4-Pack,Packaged Food,WEST,West India (Mumbai),647,56,36232
2023-01-02,SKU003,Fresh Butter 500g,Dairy,CENTRAL,Central India (Nagpur),108,275,29700
2023-01-02,SKU003,Fresh Butter 500g,Dairy,EAST,East India (Kolkata),91,275,25025
2023-01-02,SKU003,Fresh Butter 500g,Dairy,NORTH,North India (Delhi NCR),174,275,47850
2023-01-02,SKU003,Fresh Butter 500g,Dairy,SOUTH,South India (Chennai),103,275,28325
2023-01-02,SKU003,Fresh Butter 500g,Dairy,WEST,West India (Mumbai),149,275,40975
2023-01-02,SKU004,Iodized Salt 1kg,Staples,CENTRAL,Central India (Nagpur),228,28,6384
2023-01-02,SKU004,Iodized Salt 1kg,Staples,EAST,East India (Kolkata),275,28,7700
2023-01-02,SKU004,Iodized Salt 1kg,Staples,NORTH,North India (Delhi NCR),398,28,11144
2023-01-02,SKU004,Iodized Salt 1kg,Staples,SOUTH,South India (Chennai),286,28,8008
2023-01-02,SKU004,Iodized Salt 1kg,Staples,WEST,West India (Mumbai),402,28,11256
2023-01-02,SKU005,Glucose Biscuits 800g,Packaged Food,CENTRAL,Central India (Nagpur),290,50,14500
2023-01-02,SKU005,Glucose Biscuits 800g,Packaged Food,EAST,East India (Kolkata),392,50,19600
2023-01-02,SKU005,Glucose Biscuits 800g,Packaged Food,NORTH,North India (Delhi NCR),523,50,26150
2023-01-02,SKU005,Glucose Biscuits 800g,Packaged Food,SOUTH,South India (Chennai),449,50,22450
2023-01-02,SKU005,Glucose Biscuits 800g,Packaged Food,WEST,West India (Mumbai),698,50,34900
2023-01-02,SKU006,Pure Honey 500g,Health Foods,CENTRAL,Central India (Nagpur),63,350,22050
2023-01-02,SKU006,Pure Honey 500g,Health Foods,EAST,East India (Kolkata),74,350,25900
2023-01-02,SKU006,Pure Honey 500g,Health Foods,NORTH,North India (Delhi NCR),144,350,50400
2023-01-02,SKU006,Pure Honey 500g,Health Foods,SOUTH,South India (Chennai),66,350,23100
2023-01-02,SKU006,Pure Honey 500g,Health Foods,WEST,West India (Mumbai),103,350,36050
2023-01-02,SKU007,Traditional Namkeen 400g,Snacks,CENTRAL,Central India (Nagpur),226,120,27120
2023-01-02,SKU007,Traditional Namkeen 400g,Snacks,EAST,East India (Kolkata),290,120,34800
2023-01-02,SKU007,Traditional Namkeen 400g,Snacks,NORTH,North India (Delhi NCR),313,120,37560
2023-01-02,SKU007,Traditional Namkeen 400g,Snacks,SOUTH,South India (Chennai),210,120,25200
2023-01-02,SKU007,Traditional Namkeen 400g,Snacks,WEST,West India (Mumbai),352,120,42240
2023-01-02,SKU008,Mango Juice 1L,Beverages,CENTRAL,Central India (Nagpur),76,95,7220
2023-01-02,SKU008,Mango Juice 1L,Beverages,EAST,East India (Kolkata),73,95,6935
2023-01-02,SKU008,Mango Juice 1L,Beverages,NORTH,North India (Delhi NCR),76,95,7220
2023-01-02,SKU008,Mango Juice 1L,Beverages,SOUTH,South India (Chennai),205,95,19475
2023-01-02,SKU008,Mango Juice 1L,Beverages,WEST,West India (Mumbai),262,95,24890
2023-01-02,SKU009,Coconut Hair Oil 200ml,Personal Care,CENTRAL,Central India (Nagpur),233,110,25630
2023-01-02,SKU009,Coconut Hair Oil 200ml,Personal Care,EAST,East India (Kolkata),280,110,30800
2023-01-02,SKU009,Coconut Hair Oil 200ml,Personal Care,NORTH,North India (Delhi NCR),429,110,47190
2023-01-02,SKU009,Coconut Hair Oil 200ml,Personal Care,SOUTH,South India (Chennai),248,110,27280
2023-01-02,SKU009,Coconut Hair Oil 200ml,Personal Care,WEST,West India (Mumbai),378,110,41580
2023-01-02,SKU010,Dishwash Liquid 500ml,Home Care,CENTRAL,Central India (Nagpur),134,99,13266
2023-01-02,SKU010,Dishwash Liquid 500ml,Home Care,EAST,East India (Kolkata),168,99,16632
2023-01-02,SKU010,Dishwash Liquid 500ml,Home Care,NORTH,North India (Delhi NCR),224,99,22176
2023-01-02,SKU010,Dishwash Liquid 500ml,Home Care,SOUTH,South India (Chennai),192,99,19008
2023-01-02,SKU010,Dishwash Liquid 500ml,Home Care,WEST,West India (Mumbai),252,99,24948
2023-01-02,SKU011,Basmati Rice 5kg,Staples,CENTRAL,Central India (Nagpur),145,450,65250
2023-01-02,SKU011,Basmati Rice 5kg,Staples,EAST,East India (Kolkata),180,450,81000
2023-01-02,SKU011,Basmati Rice 5kg,Staples,NORTH,North India (Delhi NCR),227,450,102150
2023-01-02,SKU011,Basmati Rice 5kg,Staples,SOUTH,South India (Chennai),142,450,63900
2023-01-02,SKU011,Basmati Rice 5kg,Staples,WEST,West India (Mumbai),213,450,95850
2023-01-02,SKU012,Sunflower Oil 1L,Staples,CENTRAL,Central India (Nagpur),175,180,31500
2023-01-02,SKU012,Sunflower Oil 1L,Staples,EAST,East India (Kolkata),239,180,43020
2023-01-02,SKU012,Sunflower Oil 1L,Staples,NORTH,North India (Delhi NCR),345,180,62100
2023-01-02,SKU012,Sunflower Oil 1L,Staples,SOUTH,South India (Chennai),281,180,50580
2023-01-02,SKU012,Sunflower Oil 1L,Staples,WEST,West India (Mumbai),370,180,66600
2023-01-02,SKU013,Green Tea 100 Bags,Beverages,CENTRAL,Central India (Nagpur),87,250,21750
2023-01-02,SKU013,Green Tea 100 Bags,Beverages,EAST,East India (Kolkata),116,250,29000
2023-01-02,SKU013,Green Tea 100 Bags,Beverages,NORTH,North India (Delhi NCR),168,250,42000
2023-01-02,SKU013,Green Tea 100 Bags,Beverages,SOUTH,South India (Chennai),102,250,25500
2023-01-02,SKU013,Green Tea 100 Bags,Beverages,WEST,West India (Mumbai),131,250,32750
2023-01-02,SKU014,Face Wash 100ml,Personal Care,CENTRAL,Central India (Nagpur),97,175,16975
2023-01-02,SKU014,Face Wash 100ml,Personal Care,EAST,East India (Kolkata),125,175,21875
2023-01-02,SKU014,Face Wash 100ml,Personal Care,NORTH,North India (Delhi NCR),165,175,28875
2023-01-02,SKU014,Face Wash 100ml,Personal Care,SOUTH,South India (Chennai),150,175,26250
2023-01-02,SKU014,Face Wash 100ml,Personal Care,WEST,West India (Mumbai),211,175,36925
2023-01-02,SKU015,Premium Chips 150g,Snacks,CENTRAL,Central India (Nagpur),331,40,13240
2023-01-02,SKU015,Premium Chips 150g,Snacks,EAST,East India (Kolkata),364,40,14560
2023-01-02,SKU015,Premium Chips 150g,Snacks,NORTH,North India (Delhi NCR),629,40,25160
2023-01-02,SKU015,Premium Chips 150g,Snacks,SOUTH,South India (Chennai),442,40,17680
2023-01-02,SKU015,Premium Chips 150g,Snacks,WEST,West India (Mumbai),563,40,22520
2023-01-02,SKU016,Chyawanprash 500g,Health Foods,CENTRAL,Central India (Nagpur),114,320,36480
2023-01-02,SKU016,Chyawanprash 500g,Health Foods,EAST,East India (Kolkata),126,320,40320
2023-01-02,SKU016,Chyawanprash 500g,Health Foods,NORTH,North India (Delhi NCR),333,320,106560
2023-01-02,SKU016,Chyawanprash 500g,Health Foods,SOUTH,South India (Chennai),81,320,25920
2023-01-02,SKU016,Chyawanprash 500g,Health Foods,WEST,West India (Mumbai),107,320,34240
2023-01-02,SKU017,Tomato Ketchup 500g,Condiments,CENTRAL,Central India (Nagpur),144,110,15840
2023-01-02,SKU017,Tomato Ketchup 500g,Condiments,EAST,East India (Kolkata),167,110,18370
2023-01-02,SKU017,Tomato Ketchup 500g,Condiments,NORTH,North India (Delhi NCR),256,110,28160
2023-01-02,SKU017,Tomato Ketchup 500g,Condiments,SOUTH,South India (Chennai),175,110,19250
2023-01-02,SKU017,Tomato Ketchup 500g,Condiments,WEST,West India (Mumbai),237,110,26070
2023-01-02,SKU018,Floor Cleaner 1L,Home Care,CENTRAL,Central India (Nagpur),94,145,13630
2023-01-02,SKU018,Floor Cleaner 1L,Home Care,EAST,East India (Kolkata),101,145,14645
2023-01-02,SKU018,Floor Cleaner 1L,Home Care,NORTH,North India (Delhi NCR),146,145,21170
2023-01-02,SKU018,Floor Cleaner 1L,Home Care,SOUTH,South India (Chennai),123,145,17835
2023-01-02,SKU018,Floor Cleaner 1L,Home Care,WEST,West India (Mumbai),184,145,26680
2023-01-02,SKU019,Chocolate Bar 50g,Confectionery,CENTRAL,Central India (Nagpur),322,45,14490
2023-01-02,SKU019,Chocolate Bar 50g,Confectionery,EAST,East India (Kolkata),406,45,18270
2023-01-02,SKU019,Chocolate Bar 50g,Confectionery,NORTH,North India (Delhi NCR),646,45,29070
2023-01-02,SKU019,Chocolate Bar 50g,Confectionery,SOUTH,South India (Chennai),355,45,15975
2023-01-02,SKU019,Chocolate Bar 50g,Confectionery,WEST,West India (Mumbai),412,45,18540
2023-01-02,SKU020,Mosquito Repellent 45ml,Home Care,CENTRAL,Central India (Nagpur),61,85,5185
2023-01-02,SKU020,Mosquito Repellent 45ml,Home Care,EAST,East India (Kolkata),77,85,6545
2023-01-02,SKU020,Mosquito Repellent 45ml,Home Care,NORTH,North India (Delhi NCR),74,85,6290
2023-01-02,SKU020,Mosquito Repellent 45ml,Home Care,SOUTH,South India (Chennai),122,85,10370
2023-01-02,SKU020,Mosquito Repellent 45ml,Home Care,WEST,West India (Mumbai),211,85,17935
2023-01-03,SKU001,Premium Detergent 1kg,Home Care,CENTRAL,Central India (Nagpur),103,225,23175
2023-01-03,SKU001,Premium Detergent 1kg,Home Care,EAST,East India (Kolkata),126,225,28350
2023-01-03,SKU001,Premium Detergent 1kg,Home Care,NORTH,North India (Delhi NCR),192,225,43200
2023-01-03,SKU001,Premium Detergent 1kg,Home Care,SOUTH,South India (Chennai),146,225,32850
2023-01-03,SKU001,Premium Detergent 1kg,Home Care,WEST,West India (Mumbai),199,225,44775
2023-01-03,SKU002,Instant Noodles 4-Pack,Packaged Food,CENTRAL,Central India (Nagpur),345,56,19320
2023-01-03,SKU002,Instant Noodles 4-Pack,Packaged Food,EAST,East India (Kolkata),490,56,27440
2023-01-03,SKU002,Instant Noodles 4-Pack,Packaged Food,NORTH,North India (Delhi NCR),782,56,43792
2023-01-03,SKU002,Instant Noodles 4-Pack,Packaged Food,SOUTH,South India (Chennai),401,56,22456
2023-01-03,SKU002,Instant Noodles 4-Pack,Packaged Food,WEST,West India (Mumbai),676,56,37856
2023-01-03,SKU003,Fresh Butter 500g,Dairy,CENTRAL,Central India (Nagpur),85,275,23375
2023-01-03,SKU003,Fresh Butter 500g,Dairy,EAST,East India (Kolkata),138,275,37950
2023-01-03,SKU003,Fresh Butter 500g,Dairy,NORTH,North India (Delhi NCR),146,275,40150
2023-01-03,SKU003,Fresh Butter 500g,Dairy,SOUTH,South India (Chennai),98,275,26950
2023-01-03,SKU003,Fresh Butter 500g,Dairy,WEST,West India (Mumbai),159,275,43725
2023-01-03,SKU004,Iodized Salt 1kg,Staples,CENTRAL,Central India (Nagpur),223,28,6244
2023-01-03,SKU004,Iodized Salt 1kg,Staples,EAST,East India (Kolkata),265,28,7420
2023-01-03,SKU004,Iodized Salt 1kg,Staples,NORTH,North India (Delhi NCR),386,28,10808
2023-01-03,SKU004,Iodized Salt 1kg,Staples,SOUTH,South India (Chennai),285,28,7980
2023-01-03,SKU004,Iodized Salt 1kg,Staples,WEST,West India (Mumbai),440,28,12320
2023-01-03,SKU005,Glucose Biscuits 800g,Packaged Food,CENTRAL,Central India (Nagpur),317,50,15850
2023-01-03,SKU005,Glucose Biscuits 800g,Packaged Food,EAST,East India (Kolkata),433,50,21650
2023-01-03,SKU005,Glucose Biscuits 800g,Packaged Food,NORTH,North India (Delhi NCR),592,50,29600
2023-01-03,SKU005,Glucose Biscuits 800g,Packaged Food,SOUTH,South India (Chennai),506,50,25300
2023-01-03,SKU005,Glucose Biscuits 800g,Packaged Food,WEST,West India (Mumbai),556,50,27800
2023-01-03,SKU006,Pure Honey 500g,Health Foods,CENTRAL,Central India (Nagpur),72,350,25200
2023-01-03,SKU006,Pure Honey 500g,Health Foods,EAST,East India (Kolkata),76,350,26600
2023-01-03,SKU006,Pure Honey 500g,Health Foods,NORTH,North India (Delhi NCR),137,350,47950
2023-01-03,SKU006,Pure Honey 500g,Health Foods,SOUTH,South India (Chennai),53,350,18550
2023-01-03,SKU006,Pure Honey 500g,Health Foods,WEST,West India (Mumbai),95,350,33250
2023-01-03,SKU007,Traditional Namkeen 400g,Snacks,CENTRAL,Central India (Nagpur),191,120,22920
2023-01-03,SKU007,Traditional Namkeen 400g,Snacks,EAST,East India (Kolkata),264,120,31680
2023-01-03,SKU007,Traditional Namkeen 400g,Snacks,NORTH,North India (Delhi NCR),310,120,37200
2023-01-03,SKU007,Traditional Namkeen 400g,Snacks,SOUTH,South India (Chennai),236,120,28320
2023-01-03,SKU007,Traditional Namkeen 400g,Snacks,WEST,West India (Mumbai),307,120,36840
2023-01-03,SKU008,Mango Juice 1L,Beverages,CENTRAL,Central India (Nagpur),66,95,6270
2023-01-03,SKU008,Mango Juice 1L,Beverages,EAST,East India (Kolkata),104,95,9880
2023-01-03,SKU008,Mango Juice 1L,Beverages,NORTH,North India (Delhi NCR),61,95,5795
2023-01-03,SKU008,Mango Juice 1L,Beverages,SOUTH,South India (Chennai),170,95,16150
2023-01-03,SKU008,Mango Juice 1L,Beverages,WEST,West India (Mumbai),345,95,32775
2023-01-03,SKU009,Coconut Hair Oil 200ml,Personal Care,CENTRAL,Central India (Nagpur),226,110,24860
2023-01-03,SKU009,Coconut Hair Oil 200ml,Personal Care,EAST,East India (Kolkata),254,110,27940
2023-01-03,SKU009,Coconut Hair Oil 200ml,Personal Care,NORTH,North India (Delhi NCR),403,110,44330
2023-01-03,SKU009,Coconut Hair Oil 200ml,Personal Care,SOUTH,South India (Chennai),232,110,25520
2023-01-03,SKU009,Coconut Hair Oil 200ml,Personal Care,WEST,West India (Mumbai),325,110,35750
2023-01-03,SKU010,Dishwash Liquid 500ml,Home Care,CENTRAL,Central India (Nagpur),141,99,13959
2023-01-03,SKU010,Dishwash Liquid 500ml,Home Care,EAST,East India (Kolkata),186,99,18414
2023-01-03,SKU010,Dishwash Liquid 500ml,Home Care,NORTH,North India (Delhi NCR),211,99,20889
2023-01-03,SKU010,Dishwash Liquid 500ml,Home Care,SOUTH,South India (Chennai),168,99,16632
2023-01-03,SKU010,Dishwash Liquid 500ml,Home Care,WEST,West India (Mumbai),282,99,27918
2023-01-03,SKU011,Basmati Rice 5kg,Staples,CENTRAL,Central India (Nagpur),142,450,63900
2023-01-03,SKU011,Basmati Rice 5kg,Staples,EAST,East India (Kolkata),154,450,69300
2023-01-03,SKU011,Basmati Rice 5kg,Staples,NORTH,North India (Delhi NCR),198,450,89100
2023-01-03,SKU011,Basmati Rice 5kg,Staples,SOUTH,South India (Chennai),164,450,73800
2023-01-03,SKU011,Basmati Rice 5kg,Staples,WEST,West India (Mumbai),218,450,98100
2023-01-03,SKU012,Sunflower Oil 1L,Staples,CENTRAL,Central India (Nagpur),190,180,34200
2023-01-03,SKU012,Sunflower Oil 1L,Staples,EAST,East India (Kolkata),229,180,41220
2023-01-03,SKU012,Sunflower Oil 1L,Staples,NORTH,North India (Delhi NCR),353,180,63540
2023-01-03,SKU012,Sunflower Oil 1L,Staples,SOUTH,South India (Chennai),275,180,49500
2023-01-03,SKU012,Sunflower Oil 1L,Staples,WEST,West India (Mumbai),322,180,57960
2023-01-03,SKU013,Green Tea 100 Bags,Beverages,CENTRAL,Central India (Nagpur),95,250,23750
2023-01-03,SKU013,Green Tea 100 Bags,Beverages,EAST,East India (Kolkata),97,250,24250
2023-01-03,SKU013,Green Tea 100 Bags,Beverages,NORTH,North India (Delhi NCR),168,250,42000
2023-01-03,SKU013,Green Tea 100 Bags,Beverages,SOUTH,South India (Chennai),109,250,27250
2023-01-03,SKU013,Green Tea 100 Bags,Beverages,WEST,West India (Mumbai),147,250,36750
2023-01-03,SKU014,Face Wash 100ml,Personal Care,CENTRAL,Central India (Nagpur),75,175,13125
2023-01-03,SKU014,Face Wash 100ml,Personal Care,EAST,East India (Kolkata),120,175,21000
2023-01-03,SKU014,Face Wash 100ml,Personal Care,NORTH,North India (Delhi NCR),146,175,25550
2023-01-03,SKU014,Face Wash 100ml,Personal Care,SOUTH,South India (Chennai),156,175,27300
2023-01-03,SKU014,Face Wash 100ml,Personal Care,WEST,West India (Mumbai),210,175,36750
2023-01-03,SKU015,Premium Chips 150g,Snacks,CENTRAL,Central India (Nagpur),270,40,10800
2023-01-03,SKU015,Premium Chips 150g,Snacks,EAST,East India (Kolkata),331,40,13240
